217.3125    3   73   64   61   59
217.3542   52  287  289  237  197
217.3958  104  529  565  490  379
217.4375  352  562  594  524  407
217.4792  382  808  775  790  699
217.5208  101  532  477  517  495
217.5625  191  435  342  411  441
217.6042  510  613  361  606  750
217.6458  356  565  201  528  804
217.6875  670  236   63  192  405
217.7292  411  221   53  138  444
217.7708   21   34   19   23   47
218.2292  211   58  165   25   21
218.2708  614  235  544  134   52
218.3125  786  434  798  352   59
218.3542  857  628  960  587  161
218.3958  887  780 1032  788  394
218.4375  711  827  956  863  592
218.4792  833  974  989 1014  841
218.5208  859  949  835  997  953
219.5625   71  499  391  459  489
219.6042   11  257  217  226  231
219.7292    4  112   89   90   96
219.7708    7   20   18   18   18
220.2292    3   28   31   21   17
220.2708   78  146  222  106   62
220.3125  278  279  454  231   84
220.3542  195  474  624  436  228
220.3958  255  582  645  557  406
220.4375  138  421  414  386  336
220.4792  291  684  657  666  588
220.5208  176  448  378  417  421
220.5625   12  141  126  128  128
220.6042   99  272  212  249  266
220.6458  103  251  126  219  311
220.6875  312  309  143  262  452
220.7292  250  224  131  176  322
220.7708   86   49   29   30   98
221.2292   78   33   68   25   25
221.2708  341  215  413  142   66
227.6875  816  421   48  358  806
227.7292  650  217   38  126  544
227.7708  203   29   14   14   82
228.2292  192   35  145   14   15
228.2708  693  231  585  139   53
228.3125  790  440  813  381   86
228.3542  818  642  971  620  197
228.3958  852  749 1001  777  390
228.4375  976  901 1058  958  642
228.4792  976  940  971 1014  829
228.5208  941  934  817 1005  967
228.5625  911  879  614  932 1039
228.6042  871  766  396  802 1026
228.6458  441  485  164  465  714
228.6875  215  178   62  147  284
228.7292  184  116   66   77  202
228.7708  157   30   19   19   66
229.2292  208   35  138   14   15
229.2708  624  219  536  134   62
229.3125  795  414  803  359   65
232.2292  198   33  132   15   15
232.2708  644  200  531  117   47
232.3125  818  402  797  347   56
232.3542  896  599  961  587  140
232.3958  845  786 1024  826  447
232.4375  728  821  955  879  612
232.4792  574  908  913  972  821
232.5208  848  935  831 1026  975
232.5625  856  865  618  926 1017
232.6042  877  767  405  820 1036
232.6458  579  482  159  478  729
232.6875  505  323   72  289  564
232.7292  181   99   35   79  203
232.7708   65   14   10   11   23
233.2292  123   26   93   12   11
233.2708  560  186  484  116   45
233.3125  765  391  779  346   56
233.3542  876  583  952  585  135
233.3958  913  744 1029  791  370
233.4375  785  654  772  710  479
234.3125  699  469  821  409  139
234.3542  320  551  719  523  287
234.3958   94  477  505  435  342
234.4375    9  419  386  372  349
234.4792   78  515  512  505  433
234.5208    8  246  222  220  209
234.5625    7  364  272  313  351
234.6042  523  700  439  722  859
234.6458  278  555  246  533  750
234.6875  113  186  113  164  213
234.7292    2   29   26   25   24
234.7708    2    7    4    4    6
235.2292    2    7    6    6    6
235.2708    2   51   44   44   42
235.3125  161  251  346  234  126
235.3542  384  471  672  470  211
